i,Province_State,Confirmed,Deaths,FIPS,Mortality_Rate,Date
593,New York,456460,33302,36,7.260219954,9/28/20
594,North Carolina,208226,3445,37,1.654452374,9/28/20
595,North Dakota,20983,234,38,1.115188486,9/28/20
596,Ohio,151802,4746,39,3.126441022,9/28/20
597,Oklahoma,85194,1007,40,1.182008123,9/28/20
598,Oregon,32994,547,41,1.65787719,9/28/20
599,Pennsylvania,161594,8088,42,5.005136329,9/28/20
600,Rhode Island,24424,1110,44,4.544710121,9/28/20
601,South Carolina,146455,3337,45,2.278515585,9/28/20
602,South Dakota,21738,218,46,1.002852148,9/28/20
603,Tennessee,193732,2389,47,1.233146821,9/28/20
604,Texas,765850,15820,48,2.076595051,9/28/20
605,Utah,71442,453,49,0.634080793,9/28/20
606,Vermont,1745,58,50,3.323782235,9/28/20
607,Virginia,146593,3172,51,2.164649969,9/28/20
608,Washington,86638,2100,53,2.423878668,9/28/20
609,West Virginia,15516,342,54,2.204176334,9/28/20
610,Wisconsin,117588,1283,55,1.091097731,9/28/20
611,Wyoming,5754,50,56,0.868960723,9/28/20
612,Alabama,88266,1580,1,1.801123993,7/31/20
613,Alaska,2990,23,2,0.769230769,7/31/20
614,Arizona,174010,3694,4,2.122866502,7/31/20
615,Arkansas,42511,453,5,1.065606549,7/31/20
616,California,500556,9214,6,1.840753083,7/31/20
617,Colorado,46809,1838,8,3.928105832,7/31/20
618,Connecticut,49810,4432,9,8.897811684,7/31/20
619,Delaware,14788,585,10,3.955910197,7/31/20
620,District of Columbia,12057,584,11,4.843659285,7/31/20
621,Florida,470386,6843,12,1.454762684,7/31/20
622,Georgia,186352,3752,13,2.013394007,7/31/20
623,Hawaii,2111,26,15,1.231643771,7/31/20
624,Idaho,20716,188,16,0.907511103,7/31/20
625,Illinois,180115,7692,17,4.270604891,7/31/20
626,Indiana,66154,2965,18,4.481966321,7/31/20
627,Iowa,44753,872,19,1.948472728,7/31/20
628,Kansas,27364,358,20,1.308288262,7/31/20
629,Kentucky,30151,735,21,2.437730092,7/31/20
630,Louisiana,116280,3949,22,3.396112831,7/31/20
631,Maine,3912,123,23,3.144171779,7/31/20
632,Maryland,88346,3493,24,3.953772667,7/31/20
633,Massachusetts,117612,8609,25,7.31983131,7/31/20
634,Michigan,90574,6450,26,7.121248924,7/31/20
635,Minnesota,54463,1640,27,3.011218625,7/31/20
636,Mississippi,58747,1663,28,2.830782848,7/31/20
637,Missouri,50616,1265,29,2.499209736,7/31/20
638,Montana,3965,60,30,1.513240858,7/31/20
639,Nebraska,26211,332,31,1.266643776,7/31/20
640,Nevada,48088,830,32,1.726002329,7/31/20
641,New Hampshire,6583,415,33,6.304116664,7/31/20
642,New Jersey,181660,15819,34,8.708025983,7/31/20
643,New Mexico,20600,642,35,3.116504854,7/31/20
644,New York,415014,32689,36,7.876601753,7/31/20
645,North Carolina,122298,1942,37,1.587924578,7/31/20
646,North Dakota,6469,103,38,1.592208997,7/31/20
647,Ohio,91159,3489,39,3.827378536,7/31/20
648,Oklahoma,36487,541,40,1.482719873,7/31/20
649,Oregon,18492,322,41,1.741293532,7/31/20
650,Pennsylvania,116787,7207,42,6.17106356,7/31/20
651,Rhode Island,19022,1007,44,5.293870255,7/31/20
652,South Carolina,89016,1712,45,1.923249753,7/31/20
653,South Dakota,8764,130,46,1.48334094,7/31/20
654,Tennessee,105959,1060,47,1.000386942,7/31/20
655,Texas,439633,6633,48,1.500366193,7/31/20
656,Utah,40196,304,49,0.756294159,7/31/20
657,Vermont,1414,57,50,4.031117397,7/31/20
658,Virginia,89888,2174,51,2.418565326,7/31/20
659,Washington,55803,1564,53,2.8027167,7/31/20
660,West Virginia,6579,116,54,1.763185895,7/31/20
661,Wisconsin,52940,934,55,1.764261428,7/31/20
662,Wyoming,2726,26,56,0.95377843,7/31/20
663,Alabama,86664,1565,1,1.824817518,7/30/20
664,Alaska,2879,23,2,0.798888503,7/30/20
665,Arizona,170798,3626,4,2.122975679,7/30/20
666,Arkansas,41759,442,5,1.058454465,7/30/20
667,California,492934,9026,6,1.831076777,7/30/20
668,Colorado,46204,1822,8,3.944918374,7/30/20
669,Connecticut,49670,4431,9,8.920877793,7/30/20
670,Delaware,14689,581,10,3.955340731,7/30/20
671,District of Columbia,12057,584,11,4.843659285,7/30/20
672,Florida,461379,6586,12,1.427459854,7/30/20
673,Georgia,182286,3671,13,2.013868317,7/30/20
674,Hawaii,1989,26,15,1.307189542,7/30/20
675,Idaho,20242,177,16,0.874419524,7/30/20
676,Illinois,178135,7670,17,4.305723187,7/30/20
677,Indiana,65253,2946,18,4.514734955,7/30/20
678,Iowa,44285,865,19,1.953257311,7/30/20
679,Kansas,26885,357,20,1.327877999,7/30/20
680,Kentucky,29386,731,21,2.487579119,7/30/20
681,Louisiana,114481,3925,22,3.428516522,7/30/20
682,Maine,3888,122,23,3.137860082,7/30/20
683,Maryland,87177,3488,24,4.001055324,7/30/20
684,Massachusetts,117098,8580,25,7.35319324,7/30/20
685,Michigan,89781,6443,26,7.176351344,7/30/20
686,Minnesota,53692,1634,27,3.043283916,7/30/20
687,Mississippi,57579,1611,28,2.797895066,7/30/20
688,Missouri,49139,1255,29,2.553979527,7/30/20
689,Montana,3814,55,30,1.442055585,7/30/20
690,Nebraska,25766,328,31,1.27299542,7/30/20
691,Nevada,46824,801,32,1.710661199,7/30/20
692,New Hampshire,6544,415,33,6.341687042,7/30/20
693,New Jersey,180970,15809,34,8.73570205,7/30/20
694,New Mexico,20388,635,35,3.114577202,7/30/20
695,New York,414370,32683,36,7.887395323,7/30/20
696,North Carolina,120532,1922,37,1.594597285,7/30/20
697,North Dakota,6301,103,38,1.634661165,7/30/20
698,Ohio,89626,3442,39,3.840403454,7/30/20
699,Oklahoma,35740,536,40,1.499720201,7/30/20
700,Oregon,18131,316,41,1.742871325,7/30/20
701,Pennsylvania,115807,7194,42,6.21205972,7/30/20
702,Rhode Island,18950,1007,44,5.313984169,7/30/20
703,South Carolina,87572,1667,45,1.903576486,7/30/20
704,South Dakota,8685,129,46,1.485319516,7/30/20
705,Tennessee,102871,1033,47,1.004170272,7/30/20
706,Texas,428320,6499,48,1.504335297,7/30/20
707,Utah,39696,300,49,0.755743652,7/30/20
708,Vermont,1407,57,50,4.051172708,7/30/20
709,Virginia,88904,2141,51,2.408215603,7/30/20
710,Washington,55803,1564,53,2.8027167,7/30/20
711,West Virginia,6375,112,54,1.756862745,7/30/20
712,Wisconsin,52108,919,55,1.763644738,7/30/20
713,Wyoming,2686,26,56,0.96798213,7/30/20
714,Alabama,153584,2517,1,1.63916277,9/29/20
715,Alaska,7722,56,2,0.725200725,9/29/20
716,Arizona,218184,5632,4,2.58130752,9/29/20
717,Arkansas,82755,1350,5,1.63132137,9/29/20
718,California,815654,15782,6,1.934889058,9/29/20
719,Colorado,70025,2046,8,2.922690132,9/29/20
720,Connecticut,57329,4505,9,7.85815207,9/29/20
721,Delaware,20531,635,10,3.092883932,9/29/20
722,District of Columbia,15300,626,11,4.091503268,9/29/20
723,Florida,704568,14143,12,2.007329314,9/29/20
724,Georgia,316306,6994,13,2.211149962,9/29/20
725,Hawaii,12290,134,15,1.090317331,9/29/20
726,Idaho,41434,464,16,1.119853261,9/29/20
727,Illinois,293448,8881,17,3.026430577,9/29/20
728,Indiana,119066,3612,18,3.03361161,9/29/20
729,Iowa,88235,1341,19,1.519805066,9/29/20
730,Kansas,60911,651,20,1.115681234,9/29/20
731,Kentucky,67856,1170,21,1.724239566,9/29/20
732,Louisiana,165624,5490,22,3.314736995,9/29/20
733,Maine,5337,141,23,2.641933671,9/29/20
734,Maryland,124311,3946,24,3.174296724,9/29/20
735,Massachusetts,131584,9423,25,7.16120501,9/29/20
736,Michigan,136820,7072,26,5.168834966,9/29/20
737,Minnesota,98447,2072,27,2.10468577,9/29/20
738,Mississippi,97638,2957,28,3.028533972,9/29/20
739,Missouri,126531,2066,29,1.632801448,9/29/20
740,Montana,12724,177,30,1.39107199,9/29/20
741,Nebraska,45044,478,31,1.061184619,9/29/20
742,Nevada,79595,1593,32,2.001381996,9/29/20
743,New Hampshire,8233,439,33,5.332199684,9/29/20
744,New Jersey,204563,16117,34,7.878746401,9/29/20
745,New Mexico,29157,875,35,3.000994615,9/29/20
746,New York,457649,33310,36,7.242231492,9/29/20
747,North Carolina,209136,3494,37,1.670683192,9/29/20
748,North Dakota,21401,239,38,1.116770244,9/29/20
749,Ohio,152907,4783,39,3.128045152,9/29/20
750,Oklahoma,86219,1018,40,1.180714228,9/29/20
751,Oregon,33291,555,41,1.667117239,9/29/20
752,Pennsylvania,163180,8101,42,4.964456428,9/29/20
753,Rhode Island,24556,1113,44,4.532497149,9/29/20
754,South Carolina,147634,3359,45,2.275221155,9/29/20
755,South Dakota,21997,223,46,1.013774606,9/29/20
756,Tennessee,194611,2420,47,1.243506277,9/29/20
757,Texas,771938,15915,48,2.072559119,9/29/20
758,Utah,72136,457,49,0.633525563,9/29/20
759,Vermont,1749,58,50,3.316180675,9/29/20
760,Virginia,147516,3187,51,2.161593539,9/29/20
761,Washington,87042,2124,53,2.440201282,9/29/20
762,West Virginia,15693,350,54,2.230293762,9/29/20
763,Wisconsin,119955,1300,55,1.083739736,9/29/20
764,Wyoming,5821,50,56,0.858958942,9/29/20
765,Alabama,106096,1893,1,1.78065827,8/14/20
766,Alaska,4073,27,2,0.662902038,8/14/20
767,Arizona,191721,4423,4,2.30699819,8/14/20
768,Arkansas,52392,587,5,1.120400061,8/14/20
769,California,613101,11148,6,1.818297475,8/14/20
770,Colorado,52538,1888,8,3.594889469,8/14/20
771,Connecticut,50897,4453,9,8.749042183,8/14/20
772,Delaware,16340,593,10,3.629130967,8/14/20
773,District of Columbia,13118,594,11,4.528129288,8/14/20
774,Florida,563285,9141,12,1.622801956,8/14/20
775,Georgia,231895,4573,13,1.972013196,8/14/20
776,Hawaii,4543,40,15,0.880475457,8/14/20
777,Idaho,27171,265,16,0.975304553,8/14/20
778,Illinois,204023,7932,17,3.887796964,8/14/20
779,Indiana,78632,3113,18,3.958948011,8/14/20
780,Iowa,51247,970,19,1.892793725,8/14/20
781,Kansas,33030,404,20,1.223130487,8/14/20
782,Kentucky,38298,804,21,2.099326336,8/14/20
783,Louisiana,136737,4430,22,3.239796105,8/14/20
784,Maine,4116,126,23,3.06122449,8/14/20
785,Maryland,98875,3631,24,3.672313527,8/14/20
786,Massachusetts,122728,8810,25,7.1851205,8/14/20
787,Michigan,100724,6566,26,6.51880386,8/14/20
788,Minnesota,63723,1739,27,2.728998949,8/14/20
789,Mississippi,70930,2043,28,2.880304526,8/14/20
790,Missouri,65793,1365,29,2.074688797,8/14/20
791,Montana,5541,81,30,1.461829995,8/14/20
792,Nebraska,29988,361,31,1.203814859,8/14/20
793,Nevada,59749,1045,32,1.748983247,8/14/20
794,New Hampshire,6964,423,33,6.074095348,8/14/20
795,New Jersey,187164,15903,34,8.496826313,8/14/20
796,New Mexico,23160,703,35,3.035405872,8/14/20
797,New York,424167,32827,36,7.739168771,8/14/20
798,North Carolina,142170,2313,37,1.626925512,8/14/20
799,North Dakota,8322,121,38,1.453977409,8/14/20
800,Ohio,106557,3784,39,3.551151027,8/14/20
801,Oklahoma,46897,644,40,1.373222168,8/14/20
802,Oregon,22613,385,41,1.702560474,8/14/20
803,Pennsylvania,127732,7434,42,5.819998121,8/14/20
804,Rhode Island,20335,1021,44,5.020899926,8/14/20
805,South Carolina,104841,2204,45,2.102230997,8/14/20
806,South Dakota,10024,150,46,1.496408619,8/14/20
807,Tennessee,130458,1326,47,1.016419077,8/14/20
808,Texas,542031,10083,48,1.867427127,8/14/20
809,Utah,45976,360,49,0.783017226,8/14/20
810,Vermont,1501,58,50,3.864090606,8/14/20
811,Virginia,104838,2370,51,2.260630687,8/14/20
812,Washington,66139,1755,53,2.653502472,8/14/20
813,West Virginia,8277,157,54,1.89682252,8/14/20
814,Wisconsin,64227,1025,55,1.595902035,8/14/20
815,Wyoming,3183,30,56,0.942507069,8/14/20
816,Alabama,106926,1896,1,1.76240937,8/15/20
817,Alaska,4156,28,2,0.673724735,8/15/20
818,Arizona,192654,4492,4,2.331641181,8/15/20
819,Arkansas,51992,600,5,1.154023696,8/15/20
820,California,617994,11218,6,1.81522798,8/15/20
821,Colorado,52838,1896,8,3.589617373,8/15/20
822,Connecticut,50897,4453,9,8.749042183,8/15/20
823,Delaware,16396,593,10,3.616735789,8/15/20
824,District of Columbia,13159,597,11,4.536818907,8/15/20
825,Florida,569637,9345,12,1.640518435,8/15/20
826,Georgia,235168,4669,13,1.985389169,8/15/20
827,Hawaii,4825,40,15,0.829015544,8/15/20
828,Idaho,27475,269,16,0.979071884,8/15/20
829,Illinois,205851,7937,17,3.855701454,8/15/20
830,Indiana,79676,3128,18,3.925899895,8/15/20
831,Iowa,52065,975,19,1.872659176,8/15/20
832,Kansas,33885,406,20,1.198170282,8/15/20
833,Kentucky,38930,810,21,2.080657591,8/15/20
834,Louisiana,136737,4430,22,3.239796105,8/15/20
835,Maine,4144,127,23,3.064671815,8/15/20
836,Maryland,99693,3636,24,3.647196894,8/15/20
837,Massachusetts,123199,8826,25,7.164019188,8/15/20
838,Michigan,101782,6586,26,6.470692264,8/15/20
839,Minnesota,64413,1705,27,2.646981199,8/15/20
840,Mississippi,71755,2080,28,2.8987527,8/15/20
841,Missouri,67004,1378,29,2.056593636,8/15/20
842,Montana,5659,82,30,1.449019261,8/15/20
843,Nebraska,30241,361,31,1.193743593,8/15/20
844,Nevada,60608,1069,32,1.763793559,8/15/20
845,New Hampshire,6980,423,33,6.06017192,8/15/20
846,New Jersey,187442,15910,34,8.487958942,8/15/20
847,New Mexico,23302,711,35,3.051240237,8/15/20
848,New York,424901,32833,36,7.727211751,8/15/20
849,North Carolina,143704,2343,37,1.630434783,8/15/20
850,North Dakota,8444,121,38,1.432970156,8/15/20
851,Ohio,107674,3824,39,3.551460891,8/15/20
852,Oklahoma,47798,657,40,1.374534499,8/15/20
853,Oregon,23018,386,41,1.676948475,8/15/20
854,Pennsylvania,128531,7451,42,5.797045071,8/15/20
855,Rhode Island,20335,1021,44,5.020899926,8/15/20
856,South Carolina,105882,2260,45,2.134451559,8/15/20
857,South Dakota,10118,152,46,1.502273177,8/15/20
858,Tennessee,131747,1345,47,1.020896111,8/15/20
859,Texas,548928,10273,48,1.878686749,8/15/20
860,Utah,46321,363,49,0.783661838,8/15/20
861,Vermont,1509,58,50,3.843605036,8/15/20
862,Virginia,105750,2381,51,2.251536643,8/15/20
863,Washington,66885,1766,53,2.640352844,8/15/20
864,West Virginia,8462,160,54,1.890805956,8/15/20
865,Wisconsin,65056,1038,55,1.595548451,8/15/20
866,Wyoming,3227,30,56,0.929656027,8/15/20
867,Alabama,140423,2392,1,1.695407798,9/16/20
868,Alaska,6432,44,2,0.684079602,9/16/20
869,Arizona,209907,5371,4,2.558752209,9/16/20
870,Arkansas,72219,1157,5,1.602071477,9/16/20
871,California,771321,14691,6,1.904654482,9/16/20
872,Colorado,62686,2002,8,3.194714837,9/16/20
873,Connecticut,55166,4487,9,8.133633035,9/16/20
874,Delaware,19234,619,10,3.218259332,9/16/20
875,District of Columbia,14743,617,11,4.185036967,9/16/20
876,Florida,671201,12939,12,1.927738487,9/16/20
877,Georgia,299056,6419,13,2.146420737,9/16/20
878,Hawaii,10946,103,15,0.940983007,9/16/20
879,Idaho,36093,429,16,1.188596127,9/16/20
880,Illinois,268238,8599,17,3.205735205,9/16/20
881,Indiana,107809,3472,18,3.220510347,9/16/20
882,Iowa,76652,1248,19,1.628137557,9/16/20
883,Kansas,50720,586,20,1.139589905,9/16/20
884,Kentucky,58764,1082,21,1.841263359,9/16/20
885,Louisiana,158826,5296,22,3.334466649,9/16/20
886,Maine,4941,138,23,2.792956891,9/16/20
887,Maryland,117888,3855,24,3.270052932,9/16/20
888,Massachusetts,125699,9245,25,7.354871558,9/16/20
889,Michigan,125742,6943,26,5.521623642,9/16/20
890,Minnesota,85813,1985,27,2.313169333,9/16/20
891,Mississippi,91234,2756,28,3.020803648,9/16/20
892,Missouri,107853,1765,29,1.636486699,9/16/20
893,Montana,9431,141,30,1.495069452,9/16/20
894,Nebraska,39419,439,31,1.113676146,9/16/20
895,Nevada,74248,1494,32,2.012175412,9/16/20
896,New Hampshire,7781,438,33,5.629096517,9/16/20
897,New Jersey,197792,16054,34,8.116607345,9/16/20
898,New Mexico,27041,832,35,3.07680929,9/16/20
899,New York,446366,33042,36,7.402445527,9/16/20
900,North Carolina,188024,3149,37,1.674786198,9/16/20
901,North Dakota,16333,177,38,1.083695586,9/16/20
902,Ohio,140518,4555,39,3.241577591,9/16/20
