i,Province_State,Confirmed,Deaths,FIPS,Mortality_Rate,Date
1016,Washington,14637,824,53,5.629568901,5/1/20
1017,West Virginia,1152,46,54,3.993055556,5/1/20
1018,Wisconsin,7314,327,55,4.470877769,5/1/20
1019,Wyoming,566,7,56,1.236749117,5/1/20
1020,Alabama,206523,3084,1,1.50544038,11/9/20
1021,Alaska,20300,84,2,0.413793103,11/9/20
1022,Arizona,259699,6164,4,2.373517033,11/9/20
1023,Arkansas,122811,2108,5,1.716458623,11/9/20
1024,California,981297,18021,6,1.83644707,11/9/20
1025,Colorado,134537,2408,8,1.7898422,11/9/20
1026,Connecticut,81432,4698,9,5.769230769,11/9/20
1027,Delaware,26908,719,10,2.672067787,11/9/20
1028,District of Columbia,18087,655,11,3.621385526,11/9/20
1029,Florida,847821,17179,12,2.026253183,11/9/20
1030,Georgia,407333,8677,13,2.018741423,11/9/20
1031,Hawaii,16010,221,15,1.380387258,11/9/20
1032,Idaho,74227,698,16,0.94035863,11/9/20
1033,Illinois,498560,10563,17,2.118701861,11/9/20
1034,Indiana,214509,4664,18,2.174267746,11/9/20
1035,Iowa,159910,1872,19,1.170658495,11/9/20
1036,Kansas,105232,1181,20,1.0662156,11/9/20
1037,Kentucky,122567,1576,21,1.285827343,11/9/20
1038,Louisiana,188352,6048,22,3.211009174,11/9/20
1039,Maine,7888,153,23,1.939655172,11/9/20
1040,Maryland,155371,4221,24,2.716723198,11/9/20
1041,Massachusetts,172727,10163,25,5.883851396,11/9/20
1042,Michigan,238308,8008,26,3.360357185,11/9/20
1043,Minnesota,184788,2729,27,1.4768275,11/9/20
1044,Mississippi,127205,3443,28,2.706654613,11/9/20
1045,Missouri,216144,3165,29,1.464301577,11/9/20
1046,Montana,40053,457,30,1.140988191,11/9/20
1047,Nebraska,85551,710,31,0.82991432,11/9/20
1048,Nevada,110982,1852,32,1.668739075,11/9/20
1049,New Hampshire,12699,489,33,3.850696905,11/9/20
1050,New Jersey,256653,16440,34,6.405535879,11/9/20
1051,New Mexico,56289,1130,35,2.007497024,11/9/20
1052,New York,532180,33923,36,6.333383442,11/9/20
1053,North Carolina,294860,4615,37,1.565149563,11/9/20
1054,North Dakota,55458,644,38,1.161239136,11/9/20
1055,Ohio,254974,5524,39,2.166495407,11/9/20
1056,Oklahoma,138455,1444,40,1.042938139,11/9/20
1057,Oregon,51155,734,41,1.434854853,11/9/20
1058,Pennsylvania,239724,9008,42,3.757654636,11/9/20
1059,Rhode Island,38009,1233,44,3.243968534,11/9/20
1060,South Carolina,186391,4041,45,2.168023134,11/9/20
1061,South Dakota,56311,537,46,0.953632505,11/9/20
1062,Tennessee,287770,3610,47,1.254474059,11/9/20
1063,Texas,1011309,19217,48,1.926100196,11/9/20
1064,Utah,134868,661,49,0.490108847,11/9/20
1065,Vermont,2415,59,50,2.443064182,11/9/20
1066,Virginia,193477,3713,51,1.919091158,11/9/20
1067,Washington,118570,2460,53,2.074723792,11/9/20
1068,West Virginia,29225,535,54,1.830624465,11/9/20
1069,Wisconsin,286380,2329,55,0.813255116,11/9/20
1070,Wyoming,18010,114,56,0.632981677,11/9/20
1071,Alabama,204665,3084,1,1.514087792,11/8/20
1072,Alaska,19826,84,2,0.423686069,11/8/20
1073,Arizona,259264,6164,4,2.377499383,11/8/20
1074,Arkansas,121866,2085,5,1.710895574,11/8/20
1075,California,972713,17973,6,1.8477187,11/8/20
1076,Colorado,130984,2394,8,1.827704147,11/8/20
1077,Connecticut,78125,4671,9,5.97888,11/8/20
1078,Delaware,26603,718,10,2.698943728,11/8/20
1079,District of Columbia,18001,654,11,3.633131493,11/8/20
1080,Florida,843897,17121,12,2.028802093,11/8/20
1081,Georgia,406061,8648,13,2.196323557,11/8/20
1082,Hawaii,15947,221,15,1.385840597,11/8/20
1083,Idaho,72961,686,16,0.940228341,11/8/20
1084,Illinois,487987,10538,17,2.159483757,11/8/20
1085,Indiana,210374,4629,18,2.200366965,11/8/20
1086,Iowa,154778,1845,19,1.192029875,11/8/20
1087,Kansas,113658,1166,20,1.149749963,11/8/20
1088,Kentucky,120838,1565,21,1.295122395,11/8/20
1089,Louisiana,187961,6036,22,3.211304473,11/8/20
1090,Maine,7693,152,23,1.975822176,11/8/20
1091,Maryland,153996,4212,24,2.735135978,11/8/20
1092,Massachusetts,171399,10149,25,5.921271419,11/8/20
1093,Michigan,229073,7945,26,3.468326691,11/8/20
1094,Minnesota,180862,2710,27,1.49837998,11/8/20
1095,Mississippi,126689,3443,28,2.717678725,11/8/20
1096,Missouri,212869,3165,29,1.486829928,11/8/20
1097,Montana,39679,456,30,1.149222511,11/8/20
1098,Nebraska,83969,703,31,0.837213734,11/8/20
1099,Nevada,110022,1851,32,1.682390795,11/8/20
1100,New Hampshire,12488,489,33,3.915759129,11/8/20
1101,New Jersey,254595,16429,34,6.452993971,11/8/20
1102,New Mexico,54881,1118,35,2.037134892,11/8/20
1103,New York,529036,33903,36,6.368942756,11/8/20
1104,North Carolina,293339,4607,37,1.570537842,11/8/20
1105,North Dakota,54305,639,38,1.17668723,11/8/20
1106,Ohio,250268,5517,39,2.204436844,11/8/20
1107,Oklahoma,136258,1438,40,1.055350878,11/8/20
1108,Oregon,50448,730,41,1.44703457,11/8/20
1109,Pennsylvania,235014,9005,42,3.831686623,11/8/20
1110,Rhode Island,36380,1224,44,3.364485981,11/8/20
1111,South Carolina,185688,4036,45,2.173538409,11/8/20
1112,South Dakota,55404,536,46,0.967439174,11/8/20
1113,Tennessee,281851,3595,47,1.275496628,11/8/20
1114,Texas,1003478,19180,48,1.935959149,11/8/20
1115,Utah,132621,659,49,0.496904713,11/8/20
1116,Vermont,2392,59,50,2.466555184,11/8/20
1117,Virginia,192175,3707,51,1.92897099,11/8/20
1118,Washington,117331,2439,53,2.07873452,11/8/20
1119,West Virginia,28404,504,54,1.774397972,11/8/20
1120,Wisconsin,281910,2312,55,0.864589955,11/8/20
1121,Wyoming,17310,114,56,0.658578856,11/8/20
1122,Alabama,171157,2786,1,1.635226032,10/16/20
1123,Alaska,10549,66,2,0.625651721,10/16/20
1124,Arizona,229486,5806,4,2.53000183,10/16/20
1125,Arkansas,97539,1665,5,1.707009504,10/16/20
1126,California,871253,16910,6,1.940882843,10/16/20
1127,Colorado,83230,2172,8,2.610357302,10/16/20
1128,Connecticut,62830,4542,9,7.229030718,10/16/20
1129,Delaware,22724,662,10,2.913219504,10/16/20
1130,District of Columbia,16255,641,11,3.94340203,10/16/20
1131,Florida,748437,15830,12,2.115074482,10/16/20
1132,Georgia,337850,7556,13,2.236495486,10/16/20
1133,Hawaii,13853,185,15,1.335450805,10/16/20
1134,Idaho,51704,523,16,1.011527155,10/16/20
1135,Illinois,339757,9425,17,2.774041447,10/16/20
1136,Indiana,143495,3887,18,2.708805185,10/16/20
1137,Iowa,105746,1524,19,1.441189265,10/16/20
1138,Kansas,72531,859,20,1.232207045,10/16/20
1139,Kentucky,85506,1300,21,1.520361144,10/16/20
1140,Louisiana,174638,5727,22,3.279355009,10/16/20
1141,Maine,5863,145,23,2.473136619,10/16/20
1142,Maryland,134329,4032,24,3.001585659,10/16/20
1143,Massachusetts,142346,9702,25,6.815786885,10/16/20
1144,Michigan,159119,7317,26,4.598445189,10/16/20
1145,Minnesota,119396,2265,27,1.897048477,10/16/20
1146,Mississippi,109255,3160,28,2.892316141,10/16/20
1147,Missouri,154923,2477,29,1.598858788,10/16/20
1148,Montana,21595,235,30,1.088214865,10/16/20
1149,Nebraska,56714,547,31,0.964488486,10/16/20
1150,Nevada,88685,1707,32,1.924789987,10/16/20
1151,New Hampshire,9514,465,33,4.88753416,10/16/20
1152,New Jersey,217804,16202,34,7.438798186,10/16/20
1153,New Mexico,35770,928,35,2.59435281,10/16/20
1154,New York,481107,33533,36,6.929227802,10/16/20
1155,North Carolina,241623,3910,37,1.618223431,10/16/20
1156,North Dakota,30517,388,38,1.271422486,10/16/20
1157,Ohio,177991,5054,39,2.839469411,10/16/20
1158,Oklahoma,105308,1154,40,1.095833175,10/16/20
1159,Oregon,38935,617,41,1.584692436,10/16/20
1160,Pennsylvania,184165,8434,42,4.579588956,10/16/20
1161,Rhode Island,27691,1152,44,4.160196454,10/16/20
1162,South Carolina,162253,3615,45,2.228001948,10/16/20
1163,South Dakota,31805,307,46,0.965257035,10/16/20
1164,Tennessee,223493,2871,47,1.284603992,10/16/20
1165,Texas,850361,17378,48,2.059901338,10/16/20
1166,Utah,91957,537,49,0.583968594,10/16/20
1167,Vermont,1915,58,50,3.028720627,10/16/20
1168,Virginia,164124,3408,51,2.07989738,10/16/20
1169,Washington,96894,2239,53,2.310772597,10/16/20
1170,West Virginia,19586,398,54,2.032063719,10/16/20
1171,Wisconsin,166186,1574,55,0.947131527,10/16/20
1172,Wyoming,8665,57,56,0.657818811,10/16/20
1173,Alabama,172137,2788,1,1.624121821,10/17/20
1174,Alaska,10760,67,2,0.62267658,10/17/20
1175,Arizona,230459,5824,4,2.527130639,10/17/20
1176,Arkansas,98422,1684,5,1.710999573,10/17/20
1177,California,873614,16956,6,1.940902962,10/17/20
1178,Colorado,84369,2176,8,2.579849667,10/17/20
1179,Connecticut,62830,4542,9,7.229030718,10/17/20
1180,Delaware,22942,664,10,2.894255078,10/17/20
1181,District of Columbia,16334,641,11,3.924329619,10/17/20
1182,Florida,752481,15917,12,2.115269356,10/17/20
1183,Georgia,339384,7607,13,2.241413856,10/17/20
1184,Hawaii,13949,186,15,1.33342892,10/17/20
1185,Idaho,52582,529,16,1.006047697,10/17/20
1186,Illinois,343386,9452,17,2.752587467,10/17/20
1187,Indiana,145977,3918,18,2.683984463,10/17/20
1188,Iowa,106698,1528,19,1.432079327,10/17/20
1189,Kansas,72649,859,20,1.226739785,10/17/20
1190,Kentucky,86797,1312,21,1.511572981,10/17/20
1191,Louisiana,174638,5727,22,3.279355009,10/17/20
1192,Maine,5912,146,23,2.469553451,10/17/20
1193,Maryland,135127,4036,24,2.986819807,10/17/20
1194,Massachusetts,142930,9723,25,6.802630658,10/17/20
1195,Michigan,161105,7340,26,4.556034884,10/17/20
1196,Minnesota,121090,2270,27,1.874638698,10/17/20
1197,Mississippi,110006,3171,28,2.882570042,10/17/20
1198,Missouri,157108,2581,29,1.642818953,10/17/20
1199,Montana,22225,239,30,1.075365579,10/17/20
1200,Nebraska,57332,547,31,0.954091956,10/17/20
1201,Nevada,89652,1707,32,1.904028912,10/17/20
1202,New Hampshire,9625,466,33,4.841558442,10/17/20
1203,New Jersey,218738,16204,34,7.407949236,10/17/20
1204,New Mexico,36343,929,35,2.556200644,10/17/20
1205,New York,482891,33547,36,6.905699216,10/17/20
1206,North Carolina,243725,3929,37,1.612062776,10/17/20
1207,North Dakota,31261,399,38,1.276350725,10/17/20
1208,Ohio,180225,5067,39,2.811485643,10/17/20
1209,Oklahoma,106468,1162,40,1.091407747,10/17/20
1210,Oregon,39315,619,41,1.574462673,10/17/20
1211,Pennsylvania,185668,8442,42,4.546825517,10/17/20
1212,Rhode Island,27691,1152,44,4.160196454,10/17/20
1213,South Carolina,163214,3637,45,2.228362763,10/17/20
1214,South Dakota,32611,315,46,0.965931741,10/17/20
1215,Tennessee,226139,2903,47,1.283723727,10/17/20
1216,Texas,855426,17445,48,2.055532376,10/17/20
1217,Utah,93297,540,49,0.578796746,10/17/20
1218,Vermont,1926,58,50,3.011422638,10/17/20
1219,Virginia,165238,3422,51,2.074698868,10/17/20
1220,Washington,97671,2239,53,2.292389757,10/17/20
1221,West Virginia,19805,401,54,2.024741227,10/17/20
1222,Wisconsin,166186,1574,55,0.947131527,10/17/20
1223,Wyoming,8816,57,56,0.646551724,10/17/20
1224,Alabama,14328,549,1,3.888928243,5/23/20
1225,Alaska,407,10,2,2.457002457,5/23/20
1226,Arizona,16053,801,4,4.989721547,5/23/20
1227,Arkansas,5775,115,5,1.991341991,5/23/20
1228,California,92539,3738,6,4.039377992,5/23/20
1229,Colorado,23964,1327,8,5.537472876,5/23/20
1230,Connecticut,40022,3675,9,9.182449653,5/23/20
1231,Delaware,8529,322,10,3.775354672,5/23/20
1232,District of Columbia,7966,427,11,5.360281195,5/23/20
1233,Florida,50127,2233,12,4.4546851,5/23/20
1234,Georgia,42242,1822,13,4.313242744,5/23/20
1235,Hawaii,643,17,15,2.643856921,5/23/20
1236,Idaho,2595,79,16,3.044315992,5/23/20
1237,Illinois,107796,4790,17,4.443578611,5/23/20
1238,Indiana,30901,1964,18,6.355781366,5/23/20
1239,Iowa,16898,446,19,2.639365605,5/23/20
1240,Kansas,8946,205,20,2.291526939,5/23/20
1241,Kentucky,8571,391,21,4.561894761,5/23/20
1242,Louisiana,36925,2668,22,7.225457007,5/23/20
1243,Maine,2013,77,23,3.825136612,5/23/20
1244,Maryland,45495,2243,24,4.930212111,5/23/20
1245,Massachusetts,91662,6304,25,6.877441033,5/23/20
1246,Michigan,54365,5223,26,9.607284098,5/23/20
1247,Minnesota,19845,861,27,4.338624339,5/23/20
1248,Mississippi,13005,616,28,4.736639754,5/23/20
1249,Missouri,11966,682,29,5.699481865,5/23/20
1250,Montana,479,16,30,3.340292276,5/23/20
1251,Nebraska,11963,147,31,1.228788765,5/23/20
1252,Nevada,7526,387,32,5.142173798,5/23/20
1253,New Hampshire,4089,208,33,5.086818293,5/23/20
1254,New Jersey,153140,11082,34,7.236515607,5/23/20
1255,New Mexico,6625,302,35,4.558490566,5/23/20
1256,New York,359926,29031,36,8.065824642,5/23/20
1257,North Carolina,22864,778,37,3.402729181,5/23/20
1258,North Dakota,2365,52,38,2.198731501,5/23/20
1259,Ohio,31408,1956,39,6.227712685,5/23/20
1260,Oklahoma,5960,311,40,5.218120805,5/23/20
1261,Oregon,3888,147,41,3.780864198,5/23/20
1262,Pennsylvania,71009,5112,42,7.19908744,5/23/20
1263,Rhode Island,13952,597,44,4.278956422,5/23/20
1264,South Carolina,9895,425,45,4.295098535,5/23/20
1265,South Dakota,4464,50,46,1.120071685,5/23/20
1266,Tennessee,19785,329,47,1.662875916,5/23/20
1267,Texas,54854,1480,48,2.698262013,5/23/20
1268,Utah,8260,97,49,1.17433414,5/23/20
1269,Vermont,954,54,50,5.660377358,5/23/20
1270,Virginia,35749,1159,51,3.242048729,5/23/20
1271,Washington,19265,1050,53,5.450298469,5/23/20
1272,West Virginia,1705,72,54,4.2228739,5/23/20
1273,Wisconsin,14877,507,55,3.40794515,5/23/20
1274,Wyoming,813,12,56,1.47601476,5/23/20
1275,Alabama,13954,541,1,3.957571324,5/22/20
1276,Alaska,403,10,2,2.481389578,5/22/20
1277,Arizona,15624,775,4,4.96031746,5/22/20
1278,Arkansas,5612,113,5,2.013542409,5/22/20
1279,California,90252,3666,6,4.061959846,5/22/20
1280,Colorado,23487,1324,8,5.637160983,5/22/20
1281,Connecticut,39640,3637,9,9.175075681,5/22/20
1282,Delaware,8529,322,10,3.775354672,5/22/20
1283,District of Columbia,7893,418,11,5.29583175,5/22/20
1284,Florida,49451,2190,12,4.428626317,5/22/20
1285,Georgia,41482,1808,13,4.358516947,5/22/20
1286,Hawaii,642,17,15,2.647975078,5/22/20
1287,Idaho,2595,79,16,3.044315992,5/22/20
1288,Illinois,105444,4715,17,4.471567846,5/22/20
1289,Indiana,30409,1941,18,6.382978723,5/22/20
1290,Iowa,16492,424,19,2.570943488,5/22/20
1291,Kansas,8909,205,20,2.301043888,5/22/20
1292,Kentucky,8426,391,21,4.640398766,5/22/20
1293,Louisiana,36925,2668,22,7.225457007,5/22/20
1294,Maine,1948,75,23,3.850102669,5/22/20
1295,Maryland,44424,2207,24,4.968035296,5/22/20
1296,Massachusetts,90889,6228,25,6.852314361,5/22/20
1297,Michigan,53913,5158,26,9.56726578,5/22/20
1298,Minnesota,19005,851,27,4.477769008,5/22/20
1299,Mississippi,12625,595,28,4.712871287,5/22/20
1300,Missouri,11836,677,29,5.719837783,5/22/20
1301,Montana,479,16,30,3.340292276,5/22/20
1302,Nebraska,11662,147,31,1.260504202,5/22/20
1303,Nevada,7525,386,32,5.129568106,5/22/20
1304,New Hampshire,4014,204,33,5.082212257,5/22/20
1305,New Jersey,152579,10985,34,7.199549086,5/22/20
1306,New Mexico,6625,302,35,4.558490566,5/22/20
1307,New York,358154,28853,36,8.056031763,5/22/20
1308,North Carolina,22110,775,37,3.505201266,5/22/20
1309,North Dakota,2317,52,38,2.244281398,5/22/20
1310,Ohio,30794,1872,39,6.079106319,5/22/20
1311,Oklahoma,5849,307,40,5.248760472,5/22/20
1312,Oregon,3864,147,41,3.804347826,5/22/20
1313,Pennsylvania,70211,5010,42,7.135634017,5/22/20
1314,Rhode Island,13736,579,44,4.215200932,5/22/20
1315,South Carolina,9638,419,45,4.347374974,5/22/20
1316,South Dakota,4356,50,46,1.147842057,5/22/20
1317,Tennessee,19394,315,47,1.624213674,5/22/20
1318,Texas,53577,1471,48,2.745662041,5/22/20
1319,Utah,8057,93,49,1.154275785,5/22/20
1320,Vermont,952,54,50,5.672268908,5/22/20
1321,Virginia,34950,1136,51,3.250357654,5/22/20
1322,Washington,19265,1050,53,5.450298469,5/22/20
1323,West Virginia,1705,72,54,4.2228739,5/22/20
1324,Wisconsin,14396,496,55,3.4454015,5/22/20
1325,Wyoming,803,12,56,1.494396015,5/22/20
1326,Alabama,101466,1768,1,1.744725364,8/9/20
1327,Alaska,3711,26,2,0.700619779,8/9/20
1328,Arizona,186923,4150,4,2.220165523,8/9/20
1329,Arkansas,49383,544,5,1.101593666,8/9/20
1330,California,559746,10377,6,1.85387658,8/9/20
1331,Colorado,50660,1858,8,3.668891434,8/9/20
1332,Connecticut,50320,4441,9,8.825516693,8/9/20
1333,Delaware,15575,591,10,3.794542536,8/9/20
1334,District of Columbia,12753,591,11,4.634203717,8/9/20
1335,Florida,532806,8186,12,1.53639411,8/9/20
1336,Georgia,216596,4199,13,1.938632292,8/9/20
1337,Hawaii,3498,31,15,0.886220698,8/9/20
1338,Idaho,24675,237,16,0.960486322,8/9/20
1339,Illinois,195380,7845,17,4.015252329,8/9/20
1340,Indiana,74328,3041,18,4.091324938,8/9/20
1341,Iowa,48919,931,19,1.903146017,8/9/20
1342,Kansas,30662,380,20,1.239319027,8/9/20
1343,Kentucky,34982,773,21,2.20970785,8/9/20
1344,Louisiana,131399,4263,22,3.244316928,8/9/20
1345,Maine,4044,125,23,3.090999011,8/9/20
1346,Maryland,95503,3585,24,3.753808781,8/9/20
1347,Massachusetts,121040,8735,25,7.216622604,8/9/20
1348,Michigan,96726,6519,26,6.739656349,8/9/20
1349,Minnesota,60898,1698,27,2.788268909,8/9/20
1350,Mississippi,67173,1896,28,2.822562637,8/9/20
1351,Missouri,59383,1334,29,2.246434165,8/9/20
1352,Montana,4952,75,30,1.51453958,8/9/20
1353,Nebraska,28432,345,31,1.213421497,8/9/20
1354,Nevada,56230,957,32,1.701938467,8/9/20
1355,New Hampshire,6835,419,33,6.130212143,8/9/20
1356,New Jersey,184773,15874,34,8.59108203,8/9/20
1357,New Mexico,22315,685,35,3.069684069,8/9/20
1358,New York,420860,32774,36,7.78738773,8/9/20
1359,North Carolina,136346,2192,37,1.607674593,8/9/20
1360,North Dakota,7596,112,38,1.474460242,8/9/20
1361,Ohio,100848,3669,39,3.638148501,8/9/20
1362,Oklahoma,43566,603,40,1.384106872,8/9/20
1363,Oregon,21272,356,41,1.673561489,8/9/20
1364,Pennsylvania,123312,7311,42,5.928863371,8/9/20
1365,Rhode Island,19738,1014,44,5.137298612,8/9/20
1366,South Carolina,100435,2031,45,2.022203415,8/9/20
1367,South Dakota,9605,146,46,1.520041645,8/9/20
1368,Tennessee,122712,1223,47,0.996642545,8/9/20
1369,Texas,505451,9162,48,1.8192908,8/9/20
1370,Utah,44127,336,49,0.761438575,8/9/20
1371,Vermont,1459,58,50,3.975325565,8/9/20
1372,Virginia,100086,2326,51,2.324001359,8/9/20
1373,Washington,63072,1688,53,2.676306443,8/9/20
1374,West Virginia,7695,139,54,1.806367771,8/9/20
1375,Wisconsin,60554,998,55,1.648115731,8/9/20
1376,Wyoming,3050,28,56,0.918032787,8/9/20
1377,Alabama,22659,744,1,3.383509937,6/10/20
1378,Alaska,592,11,2,1.858108108,6/10/20
1379,Arizona,29852,1101,4,3.688195096,6/10/20
1380,Arkansas,10368,165,5,1.591435185,6/10/20
1381,California,139715,4854,6,3.474215367,6/10/20
1382,Colorado,28499,1572,8,5.518887797,6/10/20
1383,Connecticut,44347,4120,9,9.290369134,6/10/20
1384,Delaware,10056,413,10,4.107000796,6/10/20
1385,District of Columbia,9537,499,11,5.232253329,6/10/20
1386,Florida,67371,2801,12,4.157575218,6/10/20
1387,Georgia,53980,2329,13,4.314560948,6/10/20
1388,Hawaii,685,17,15,2.481751825,6/10/20
1389,Idaho,3260,85,16,2.607361963,6/10/20
1390,Illinois,129837,6095,17,4.694347528,6/10/20
1391,Indiana,38337,2355,18,6.14289068,6/10/20
1392,Iowa,22626,631,19,2.788827013,6/10/20
1393,Kansas,10750,240,20,2.23255814,6/10/20
1394,Kentucky,11883,484,21,4.073045527,6/10/20
1395,Louisiana,44030,2968,22,6.740858506,6/10/20
1396,Maine,2637,100,23,3.792188093,6/10/20
1397,Maryland,59465,2844,24,4.782645254,6/10/20
1398,Massachusetts,104156,7454,25,7.156572833,6/10/20
1399,Michigan,65182,5955,26,9.13595778,6/10/20
1400,Minnesota,28869,1267,27,4.388790744,6/10/20
1401,Mississippi,18483,868,28,4.696207326,6/10/20
1402,Missouri,15512,851,29,5.486075297,6/10/20
1403,Montana,561,18,30,3.20855615,6/10/20
1404,Nebraska,16058,191,31,1.189438286,6/10/20
1405,Nevada,10218,449,32,4.394206303,6/10/20
1406,New Hampshire,5178,301,33,5.813055234,6/10/20
1407,New Jersey,165346,12377,34,7.485515223,6/10/20
1408,New Mexico,9250,410,35,4.432432432,6/10/20
1409,New York,380156,30542,36,8.034070224,6/10/20
1410,North Carolina,38473,1090,37,2.83315572,6/10/20
1411,North Dakota,2941,73,38,2.482148929,6/10/20
1412,Ohio,39575,2459,39,6.213518636,6/10/20
1413,Oklahoma,7483,356,40,4.75745022,6/10/20
1414,Oregon,5060,169,41,3.339920949,6/10/20
1415,Pennsylvania,81316,6062,42,7.454867431,6/10/20
1416,Rhode Island,15756,812,44,5.153592282,6/10/20
1417,South Carolina,15759,575,45,3.648708674,6/10/20
1418,South Dakota,5604,69,46,1.231263383,6/10/20
1419,Tennessee,27930,437,47,1.56462585,6/10/20
1420,Texas,80761,1907,48,2.358344578,6/10/20
1421,Utah,12864,128,49,0.995024876,6/10/20
1422,Vermont,1095,55,50,5.02283105,6/10/20
1423,Virginia,52177,1514,51,2.901661652,6/10/20
1424,Washington,24354,1176,53,4.82877556,6/10/20
1425,West Virginia,2194,85,54,3.87420237,6/10/20
1426,Wisconsin,21593,671,55,3.107488538,6/10/20
1427,Wyoming,980,18,56,1.836734694,6/10/20
1428,Alabama,23370,755,1,3.304880718,6/11/20
1429,Alaska,609,11,2,1.806239737,6/11/20
1430,Arizona,31267,1135,4,3.630025266,6/11/20
1431,Arkansas,10816,171,5,1.580991124,6/11/20
1432,California,143377,4934,6,3.441277192,6/11/20
1433,Colorado,28647,1582,8,5.525286393,6/11/20
1434,Connecticut,44461,4146,9,9.325026428,6/11/20
1435,Delaware,10106,414,10,4.096576291,6/11/20
1436,District of Columbia,9589,502,11,5.235165294,6/11/20
1437,Florida,69069,2848,12,4.123412819,6/11/20
1438,Georgia,54973,2375,13,4.320302694,6/11/20
1439,Hawaii,692,17,15,2.456647399,6/11/20
1440,Idaho,3260,85,16,2.607361963,6/11/20
1441,Illinois,130603,6185,17,4.735725826,6/11/20
1442,Indiana,38748,2380,18,6.142252503,6/11/20
1443,Iowa,22973,640,19,2.785879075,6/11/20
1444,Kansas,10823,243,20,2.245218516,6/11/20
1445,Kentucky,11945,493,21,4.127249895,6/11/20
1446,Louisiana,44472,2987,22,6.716585717,6/11/20
1447,Maine,2667,100,23,3.749531309,6/11/20
1448,Maryland,60197,2875,24,4.775985514,6/11/20
1449,Massachusetts,104667,7492,25,7.157938987,6/11/20
1450,Michigan,65449,5985,26,9.144524744,6/11/20
1451,Minnesota,29316,1280,27,4.366216401,6/11/20
1452,Mississippi,18483,868,28,4.696207326,6/11/20
1453,Missouri,15699,862,29,5.490795592,6/11/20
1454,Montana,563,18,30,3.197158082,6/11/20
1455,Nebraska,16315,212,31,1.299417714,6/11/20
1456,Nevada,10473,459,32,4.382698367,6/11/20
1457,New Hampshire,5209,308,33,5.912843156,6/11/20
1458,New Jersey,165816,12443,34,7.504100931,6/11/20
1459,New Mexico,9367,420,35,4.483826198,6/11/20
1460,New York,380892,30580,36,8.028522521,6/11/20
1461,North Carolina,39584,1106,37,2.794058205,6/11/20
1462,North Dakota,2980,74,38,2.483221477,6/11/20
1463,Ohio,40004,2492,39,6.229377062,6/11/20
1464,Oklahoma,7626,358,40,4.6944663,6/11/20
1465,Oregon,5237,171,41,3.265228184,6/11/20
1466,Pennsylvania,81848,6113,42,7.46872251,6/11/20
1467,Rhode Island,15862,823,44,5.18850082,6/11/20
1468,South Carolina,16441,588,45,3.576424792,6/11/20
1469,South Dakota,5665,73,46,1.288614298,6/11/20
1470,Tennessee,28340,441,47,1.556104446,6/11/20
1471,Texas,82644,1932,48,2.33492221,6/11/20
1472,Utah,13252,131,49,0.988530033,6/11/20
1473,Vermont,1110,55,50,4.954954955,6/11/20
1474,Virginia,52647,1520,51,2.887154064,6/11/20
1475,Washington,24779,1194,53,4.818596392,6/11/20
1476,West Virginia,2217,86,54,3.879115922,6/11/20
1477,Wisconsin,21926,682,55,3.110462465,6/11/20
1478,Wyoming,1009,18,56,1.7839445,6/11/20
1479,Alabama,99854,1755,1,1.751969093,8/8/20
1480,Alaska,3613,26,2,0.719623582,8/8/20
1481,Arizona,186107,4137,4,2.222914775,8/8/20
1482,Arkansas,48811,535,5,1.096064412,8/8/20
1483,California,554388,10307,6,1.859167226,8/8/20
1484,Colorado,50324,1857,8,3.691408579,8/8/20
1485,Connecticut,50320,4441,9,8.825516693,8/8/20
1486,Delaware,15502,590,10,3.805960521,8/8/20
1487,District of Columbia,12653,590,11,4.662925788,8/8/20
1488,Florida,526577,8109,12,1.539945725,8/8/20
1489,Georgia,213427,4186,13,1.961326355,8/8/20
1490,Hawaii,3346,31,15,0.926479378,8/8/20
1491,Idaho,24497,235,16,0.959301139,8/8/20
1492,Illinois,193998,7840,17,4.041278776,8/8/20
1493,Indiana,73287,3036,18,4.142617381,8/8/20
1494,Iowa,48535,927,19,1.909961883,8/8/20
1495,Kansas,30463,380,20,1.247414897,8/8/20
1496,Kentucky,34578,772,21,2.232633466,8/8/20
1497,Louisiana,128746,4207,22,3.267674336,8/8/20
1498,Maine,4028,125,23,3.103277061,8/8/20
1499,Maryland,94581,3577,24,3.781943519,8/8/20
1500,Massachusetts,120711,8721,25,7.22469369,8/8/20
1501,Michigan,96191,6520,26,6.778180911,8/8/20
1502,Minnesota,60101,1689,27,2.81026938,8/8/20
1503,Mississippi,66646,1874,28,2.81187168,8/8/20
1504,Missouri,58021,1327,29,2.287102945,8/8/20
1505,Montana,4889,75,30,1.534056044,8/8/20
1506,Nebraska,28245,345,31,1.221455125,8/8/20
1507,Nevada,55419,949,32,1.712409102,8/8/20
1508,New Hampshire,6818,419,33,6.145497213,8/8/20
1509,New Jersey,184429,15869,34,8.604395187,8/8/20
1510,New Mexico,22115,681,35,3.079357902,8/8/20
1511,New York,420345,32768,36,7.795501314,8/8/20
1512,North Carolina,134948,2184,37,1.618401162,8/8/20
1513,North Dakota,7508,112,38,1.491742142,8/8/20
1514,Ohio,99969,3668,39,3.669137433,8/8/20
1515,Oklahoma,43080,603,40,1.399721448,8/8/20
